log,label,threat_type
Jan 22 05:35:45 server3 sshd[8607]: Accepted publickey for user1 from 192.168.50.120 port 22 ssh2,0,normal
Jan 14 12:39:22 server4 cron[7058]: (user1) CMD (/usr/bin/update.sh),0,normal
Jan 1 00:10:11 server3 postfix/smtpd[3172]: connect from mail.example.com[192.168.91.242],0,normal
"Jan 30 07:45:37 server2 kernel: [14655] USB disconnect, address 4",0,normal
Jan 11 02:16:42 server2 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 25 17:06:00 server4 NetworkManager[8113]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 21 04:31:11 server4 NetworkManager[1568]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 7 16:35:05 server4 sshd[8069]: Accepted publickey for www-data from 192.168.88.146 port 22 ssh2,0,normal
Jan 28 07:02:24 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 5 06:33:57 server2 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 23 17:34:29 server2 cron[1456]: (service) CMD (/usr/bin/cleanup.sh),0,normal
Jan 29 02:58:53 server3 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 2 06:58:38 server4 systemd[1]: Started User Manager for UID 1408,0,normal
"Jan 8 23:26:17 server1 kernel: [64063] USB disconnect, address 7",0,normal
"Jan 23 00:15:08 server1 kernel: [76222] USB disconnect, address 7",0,normal
Jan 21 19:10:18 server4 systemd[1]: Started User Manager for UID 1034,0,normal
Jan 29 06:44:48 server1 postfix/smtpd[1645]: connect from web.example.com[192.168.162.56],0,normal
Jan 11 13:42:56 server2 sshd[7352]: Accepted publickey for user1 from 192.168.191.61 port 22 ssh2,0,normal
"Jan 9 15:12:34 server4 apache2[8047]: 192.168.228.88 - - [12/Jan/2024:16:32:55 +0000] ""GET /contact.html HTTP/1.1"" 200 3227",0,normal
Jan 2 05:30:22 server2 sshd[8183]: Accepted publickey for service from 192.168.6.136 port 22 ssh2,0,normal
Jan 8 21:55:50 server4 postfix/smtpd[9905]: connect from mail.example.com[192.168.54.29],0,normal
Jan 22 21:47:59 server3 sshd[7166]: Accepted publickey for user1 from 192.168.55.155 port 22 ssh2,0,normal
Jan 15 08:56:51 server3 cron[7653]: (user1) CMD (/usr/bin/cleanup.sh),0,normal
Jan 19 08:21:08 server4 postfix/smtpd[3707]: connect from mail.example.com[192.168.195.165],0,normal
Jan 11 15:50:30 server4 cron[8256]: (service) CMD (/usr/bin/backup.sh),0,normal
Jan 29 14:30:13 server3 postfix/smtpd[8000]: connect from web.example.com[192.168.253.27],0,normal
Jan 22 17:44:44 server3 postfix/smtpd[4496]: connect from mail.example.com[192.168.166.244],0,normal
"Jan 20 09:23:02 server3 apache2[7503]: 192.168.97.127 - - [06/Jan/2024:19:26:28 +0000] ""GET /api/status HTTP/1.1"" 200 4959",0,normal
Jan 24 22:40:38 server4 postfix/smtpd[9529]: connect from web.example.com[192.168.168.95],0,normal
Jan 6 16:10:20 server2 cron[4212]: (admin) CMD (/usr/bin/backup.sh),0,normal
Jan 4 15:44:56 server4 cron[5698]: (admin) CMD (/usr/bin/update.sh),0,normal
Jan 1 13:52:32 server4 systemd[1]: Started User Manager for UID 1858,0,normal
Jan 26 23:40:04 server4 postfix/smtpd[4502]: connect from web.example.com[192.168.156.220],0,normal
Jan 4 11:06:00 server1 systemd[1]: Started User Manager for UID 1063,0,normal
Jan 3 07:15:36 server4 sshd[4334]: Accepted publickey for user1 from 192.168.92.248 port 22 ssh2,0,normal
Jan 16 23:40:32 server2 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 25 19:38:25 server2 systemd[1]: Started User Manager for UID 1004,0,normal
"Jan 20 00:35:41 server1 apache2[5787]: 192.168.55.23 - - [13/Jan/2024:14:40:30 +0000] ""GET /about.html HTTP/1.1"" 200 833",0,normal
Jan 6 00:46:50 server4 cron[2898]: (www-data) CMD (/usr/bin/backup.sh),0,normal
Jan 22 04:08:07 server4 systemd[1]: Started User Manager for UID 1625,0,normal
Jan 24 04:09:42 server3 postfix/smtpd[4913]: connect from mail.example.com[192.168.64.95],0,normal
Jan 25 14:07:57 server1 systemd[1]: Started User Manager for UID 1539,0,normal
Jan 28 14:29:13 server3 systemd[1]: Started User Manager for UID 1491,0,normal
Jan 16 07:39:12 server4 systemd[1]: Started User Manager for UID 1857,0,normal
Jan 12 02:37:45 server1 NetworkManager[8210]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 5 17:09:11 server3 sshd[8273]: Accepted publickey for www-data from 192.168.6.236 port 22 ssh2,0,normal
Jan 23 19:51:37 server4 postfix/smtpd[5752]: connect from mail.example.com[192.168.253.200],0,normal
Jan 3 20:16:41 server3 cron[6135]: (service) CMD (/usr/bin/cleanup.sh),0,normal
Jan 20 06:44:56 server1 systemd[1]: Started User Manager for UID 1032,0,normal
Jan 21 13:50:35 server2 systemd[1]: Started User Manager for UID 1667,0,normal
"Jan 22 18:56:10 server3 apache2[1606]: 192.168.120.3 - - [12/Jan/2024:00:18:23 +0000] ""GET /api/status HTTP/1.1"" 200 4576",0,normal
Jan 13 09:17:01 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 10 06:49:26 server2 sshd[3129]: Accepted publickey for www-data from 192.168.204.56 port 22 ssh2,0,normal
Jan 14 12:43:58 server3 sshd[9948]: Accepted publickey for www-data from 192.168.124.138 port 22 ssh2,0,normal
"Jan 1 05:28:06 server3 kernel: [98578] USB disconnect, address 2",0,normal
Jan 8 16:39:32 server2 systemd[1]: Started User Manager for UID 1272,0,normal
Jan 3 03:33:08 server4 cron[8286]: (www-data) CMD (/usr/bin/cleanup.sh),0,normal
Jan 9 10:13:58 server1 postfix/smtpd[5044]: connect from web.example.com[192.168.60.62],0,normal
Jan 23 18:48:26 server2 cron[4160]: (user1) CMD (/usr/bin/update.sh),0,normal
Jan 1 05:37:06 server2 postfix/smtpd[2199]: connect from mail.example.com[192.168.179.157],0,normal
Jan 3 20:31:57 server2 cron[3482]: (www-data) CMD (/usr/bin/backup.sh),0,normal
Jan 5 21:54:51 server4 systemd[1]: Started User Manager for UID 1975,0,normal
Jan 28 06:09:44 server1 sshd[9012]: Accepted publickey for service from 192.168.16.128 port 22 ssh2,0,normal
"Jan 13 07:33:20 server4 apache2[7483]: 192.168.4.150 - - [20/Jan/2024:09:36:22 +0000] ""GET /contact.html HTTP/1.1"" 200 1007",0,normal
Jan 9 12:48:36 server2 cron[1690]: (user1) CMD (/usr/bin/update.sh),0,normal
Jan 26 19:52:44 server3 postfix/smtpd[6366]: connect from mail.example.com[192.168.203.9],0,normal
Jan 24 11:06:18 server4 NetworkManager[7644]: <info> device (eth0): state change: activated -> disconnected,0,normal
"Jan 4 01:03:18 server1 kernel: [91306] USB disconnect, address 5",0,normal
Jan 25 01:00:43 server2 NetworkManager[4529]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 6 16:23:20 server3 systemd[1]: Started User Manager for UID 1827,0,normal
"Jan 5 15:42:23 server3 apache2[4854]: 192.168.131.214 - - [26/Jan/2024:20:14:33 +0000] ""GET /contact.html HTTP/1.1"" 200 1656",0,normal
Jan 12 18:26:08 server3 cron[2506]: (admin) CMD (/usr/bin/backup.sh),0,normal
"Jan 18 01:14:38 server2 kernel: [76692] USB disconnect, address 9",0,normal
Jan 2 18:27:52 server3 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 22 00:52:09 server2 postfix/smtpd[2394]: connect from web.example.com[192.168.201.93],0,normal
Jan 18 02:47:44 server1 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
"Jan 22 19:04:56 server1 kernel: [73540] USB disconnect, address 1",0,normal
"Jan 19 23:46:16 server1 kernel: [10355] USB disconnect, address 8",0,normal
Jan 18 02:32:45 server2 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 19 21:05:25 server3 NetworkManager[8763]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 18 01:18:51 server2 cron[1118]: (www-data) CMD (/usr/bin/backup.sh),0,normal
Jan 9 11:40:36 server2 systemd[1]: Started User Manager for UID 1145,0,normal
Jan 2 17:09:04 server3 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 5 12:44:00 server3 sshd[2573]: Accepted publickey for www-data from 192.168.177.157 port 22 ssh2,0,normal
"Jan 10 04:47:32 server4 kernel: [41889] USB disconnect, address 4",0,normal
Jan 20 11:29:45 server4 NetworkManager[3777]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 6 12:51:52 server3 postfix/smtpd[9828]: connect from web.example.com[192.168.57.213],0,normal
Jan 23 17:55:39 server2 NetworkManager[9961]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 10 18:25:53 server2 cron[4868]: (user1) CMD (/usr/bin/backup.sh),0,normal
Jan 24 08:45:36 server3 NetworkManager[9417]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 23 09:42:37 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 19 00:20:48 server1 postfix/smtpd[3376]: connect from web.example.com[192.168.207.63],0,normal
Jan 2 07:17:10 server2 NetworkManager[8209]: <info> device (eth0): state change: activated -> disconnected,0,normal
"Jan 16 20:51:46 server3 apache2[7900]: 192.168.88.93 - - [08/Jan/2024:14:58:25 +0000] ""GET /contact.html HTTP/1.1"" 200 1871",0,normal
Jan 20 14:10:25 server3 cron[3957]: (admin) CMD (/usr/bin/cleanup.sh),0,normal
Jan 13 04:56:04 server2 cron[4108]: (www-data) CMD (/usr/bin/cleanup.sh),0,normal
Jan 24 05:24:11 server3 postfix/smtpd[9705]: connect from web.example.com[192.168.144.128],0,normal
Jan 1 04:51:03 server1 systemd[1]: Started User Manager for UID 1129,0,normal
Jan 28 17:23:55 server2 postfix/smtpd[2778]: connect from web.example.com[192.168.165.5],0,normal
Jan 2 17:39:02 server4 cron[6343]: (admin) CMD (/usr/bin/cleanup.sh),0,normal
Jan 27 06:05:12 server4 cron[4778]: (admin) CMD (/usr/bin/update.sh),0,normal
"Jan 6 08:58:11 server2 apache2[8723]: 192.168.99.19 - - [03/Jan/2024:21:31:20 +0000] ""GET /index.html HTTP/1.1"" 200 4861",0,normal
Jan 3 23:33:47 server3 postfix/smtpd[8468]: connect from mail.example.com[192.168.220.243],0,normal
"Jan 12 01:11:08 server2 apache2[4674]: 192.168.160.92 - - [08/Jan/2024:22:45:17 +0000] ""GET /api/status HTTP/1.1"" 200 567",0,normal
Jan 24 00:22:54 server1 sshd[3877]: Accepted publickey for service from 192.168.252.19 port 22 ssh2,0,normal
Jan 24 21:57:37 server4 systemd[1]: Started User Manager for UID 1807,0,normal
Jan 9 06:01:40 server2 systemd[1]: Started User Manager for UID 1566,0,normal
Jan 20 20:25:10 server1 sshd[9747]: Accepted publickey for service from 192.168.200.218 port 22 ssh2,0,normal
Jan 18 18:54:03 server4 NetworkManager[6569]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 19 10:02:50 server1 cron[3126]: (user1) CMD (/usr/bin/cleanup.sh),0,normal
"Jan 4 16:57:18 server4 apache2[4303]: 192.168.173.82 - - [11/Jan/2024:22:25:49 +0000] ""GET /index.html HTTP/1.1"" 200 1154",0,normal
Jan 2 01:04:42 server4 systemd[1]: Started User Manager for UID 1323,0,normal
"Jan 24 18:25:23 server2 apache2[2869]: 192.168.67.19 - - [22/Jan/2024:20:49:59 +0000] ""GET /contact.html HTTP/1.1"" 200 302",0,normal
"Jan 23 13:40:53 server2 apache2[8183]: 192.168.95.59 - - [04/Jan/2024:12:01:56 +0000] ""GET /about.html HTTP/1.1"" 200 1160",0,normal
Jan 8 12:23:04 server3 NetworkManager[2144]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 28 00:21:43 server1 postfix/smtpd[9975]: connect from mail.example.com[192.168.240.39],0,normal
Jan 13 08:24:36 server1 sshd[8369]: Accepted publickey for service from 192.168.126.33 port 22 ssh2,0,normal
Jan 2 21:08:28 server3 cron[7559]: (www-data) CMD (/usr/bin/update.sh),0,normal
Jan 14 19:58:48 server1 cron[9463]: (admin) CMD (/usr/bin/update.sh),0,normal
Jan 23 17:45:36 server3 NetworkManager[8131]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 9 19:26:04 server4 cron[3189]: (user1) CMD (/usr/bin/update.sh),0,normal
Jan 8 11:28:55 server3 cron[4379]: (user1) CMD (/usr/bin/cleanup.sh),0,normal
"Jan 11 02:09:21 server4 apache2[2933]: 192.168.136.78 - - [01/Jan/2024:19:00:23 +0000] ""GET /contact.html HTTP/1.1"" 200 4522",0,normal
Jan 29 05:43:31 server2 cron[2752]: (service) CMD (/usr/bin/backup.sh),0,normal
Jan 2 14:49:36 server3 NetworkManager[6299]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 5 16:03:48 server1 sshd[4253]: Accepted publickey for www-data from 192.168.65.192 port 22 ssh2,0,normal
Jan 21 22:01:51 server3 systemd[1]: Started User Manager for UID 1766,0,normal
"Jan 29 07:05:03 server1 kernel: [38420] USB disconnect, address 7",0,normal
Jan 29 07:33:33 server1 cron[2960]: (www-data) CMD (/usr/bin/cleanup.sh),0,normal
Jan 20 20:32:10 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 22 01:39:40 server2 sshd[2532]: Accepted publickey for user1 from 192.168.87.35 port 22 ssh2,0,normal
Jan 9 16:49:39 server4 cron[1416]: (www-data) CMD (/usr/bin/update.sh),0,normal
Jan 1 16:26:24 server2 cron[1710]: (service) CMD (/usr/bin/cleanup.sh),0,normal
Jan 13 09:27:38 server2 sshd[8657]: Accepted publickey for user1 from 192.168.70.195 port 22 ssh2,0,normal
Jan 1 19:45:50 server4 postfix/smtpd[6604]: connect from web.example.com[192.168.11.61],0,normal
Jan 15 01:15:34 server1 postfix/smtpd[6119]: connect from web.example.com[192.168.30.83],0,normal
Jan 23 07:17:09 server2 NetworkManager[5167]: <info> device (eth0): state change: activated -> disconnected,0,normal
"Jan 2 23:35:23 server1 kernel: [78662] USB disconnect, address 8",0,normal
Jan 12 01:47:32 server3 cron[6250]: (service) CMD (/usr/bin/cleanup.sh),0,normal
Jan 25 02:45:21 server4 sshd[6377]: Accepted publickey for admin from 192.168.70.97 port 22 ssh2,0,normal
Jan 11 02:20:42 server4 postfix/smtpd[1116]: connect from web.example.com[192.168.53.158],0,normal
"Jan 5 21:56:09 server3 kernel: [60168] USB disconnect, address 7",0,normal
Jan 25 09:38:58 server3 NetworkManager[2338]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 6 10:00:00 server4 NetworkManager[7518]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 21 03:30:49 server2 cron[5537]: (www-data) CMD (/usr/bin/update.sh),0,normal
Jan 28 16:26:58 server4 systemd[1]: Started User Manager for UID 1225,0,normal
Jan 24 20:00:33 server2 cron[5744]: (www-data) CMD (/usr/bin/backup.sh),0,normal
Jan 4 04:41:07 server1 cron[6822]: (service) CMD (/usr/bin/backup.sh),0,normal
Jan 15 11:01:35 server4 NetworkManager[9513]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 13 12:33:26 server1 cron[9615]: (service) CMD (/usr/bin/update.sh),0,normal
Jan 17 02:30:31 server4 cron[9455]: (www-data) CMD (/usr/bin/cleanup.sh),0,normal
Jan 30 17:13:50 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
"Jan 10 08:05:53 server2 apache2[6746]: 192.168.103.193 - - [08/Jan/2024:12:04:00 +0000] ""GET /about.html HTTP/1.1"" 200 3584",0,normal
Jan 28 05:58:51 server4 NetworkManager[2866]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 28 08:14:32 server4 sshd[5094]: Accepted publickey for admin from 192.168.242.9 port 22 ssh2,0,normal
"Jan 21 21:41:05 server1 apache2[8308]: 192.168.169.158 - - [03/Jan/2024:21:55:30 +0000] ""GET /about.html HTTP/1.1"" 200 3021",0,normal
"Jan 22 13:19:54 server4 kernel: [19201] USB disconnect, address 5",0,normal
Jan 11 08:31:25 server2 systemd[1]: Started User Manager for UID 1495,0,normal
Jan 16 09:58:15 server4 sshd[8608]: Accepted publickey for www-data from 192.168.44.156 port 22 ssh2,0,normal
Jan 4 00:37:07 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 10 15:52:09 server4 cron[1108]: (admin) CMD (/usr/bin/backup.sh),0,normal
"Jan 30 06:12:49 server3 apache2[2630]: 192.168.16.105 - - [25/Jan/2024:13:04:32 +0000] ""GET /api/status HTTP/1.1"" 200 2182",0,normal
Jan 27 12:19:46 server3 systemd[1]: Started User Manager for UID 1416,0,normal
Jan 21 04:57:40 server2 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 24 05:04:33 server3 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
"Jan 24 12:41:43 server1 kernel: [86031] USB disconnect, address 8",0,normal
Jan 28 12:07:21 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 21 22:57:07 server1 cron[6912]: (service) CMD (/usr/bin/cleanup.sh),0,normal
"Jan 18 06:10:40 server1 apache2[8677]: 192.168.72.10 - - [12/Jan/2024:15:51:21 +0000] ""GET /about.html HTTP/1.1"" 200 3060",0,normal
Jan 29 07:06:34 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 19 19:48:35 server3 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 1 15:44:35 server2 systemd[1]: Started User Manager for UID 1107,0,normal
Jan 2 07:48:27 server2 sshd[4956]: Accepted publickey for service from 192.168.140.184 port 22 ssh2,0,normal
Jan 20 18:42:53 server4 systemd[1]: Started User Manager for UID 1700,0,normal
Jan 16 04:03:51 server4 cron[9065]: (admin) CMD (/usr/bin/update.sh),0,normal
Jan 19 05:22:50 server3 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 19 07:36:23 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 15 07:38:47 server3 postfix/smtpd[1618]: connect from web.example.com[192.168.95.232],0,normal
Jan 30 15:04:35 server2 cron[3042]: (service) CMD (/usr/bin/backup.sh),0,normal
"Jan 26 08:48:34 server4 kernel: [65963] USB disconnect, address 1",0,normal
"Jan 15 20:44:59 server2 kernel: [31651] USB disconnect, address 3",0,normal
Jan 22 08:47:28 server4 systemd[1]: Started User Manager for UID 1778,0,normal
Jan 5 05:54:25 server3 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 26 15:50:20 server1 postfix/smtpd[8934]: connect from web.example.com[192.168.117.17],0,normal
"Jan 8 03:06:01 server3 kernel: [66290] USB disconnect, address 7",0,normal
Jan 6 11:40:54 server3 NetworkManager[6786]: <info> device (eth0): state change: activated -> disconnected,0,normal
"Jan 11 10:12:47 server1 kernel: [70134] USB disconnect, address 8",0,normal
Jan 17 12:14:32 server2 postfix/smtpd[8015]: connect from web.example.com[192.168.88.70],0,normal
Jan 13 22:05:47 server3 sshd[2530]: Accepted publickey for admin from 192.168.236.53 port 22 ssh2,0,normal
Jan 17 17:44:00 server4 sshd[7520]: Accepted publickey for www-data from 192.168.239.236 port 22 ssh2,0,normal
Jan 14 21:56:37 server3 postfix/smtpd[3825]: connect from web.example.com[192.168.101.212],0,normal
Jan 11 18:22:20 server2 NetworkManager[8073]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 20 13:14:13 server1 systemd[1]: Started User Manager for UID 1477,0,normal
Jan 20 21:53:18 server4 NetworkManager[4745]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 5 01:49:35 server1 cron[3030]: (www-data) CMD (/usr/bin/update.sh),0,normal
Jan 26 04:37:31 server1 sshd[6601]: Accepted publickey for service from 192.168.87.116 port 22 ssh2,0,normal
Jan 7 08:35:55 server1 systemd[1]: Started User Manager for UID 1123,0,normal
Jan 18 03:04:54 server3 sshd[9717]: Accepted publickey for service from 192.168.17.196 port 22 ssh2,0,normal
Jan 22 15:34:43 server4 dhcpd: DHCPDISCOVER from 00:11:22:33:44:55 via eth0,0,normal
Jan 2 18:52:29 server2 sshd[8454]: Accepted publickey for user1 from 192.168.203.24 port 22 ssh2,0,normal
Jan 3 02:51:16 server4 cron[2270]: (service) CMD (/usr/bin/update.sh),0,normal
Jan 10 22:08:41 server1 postfix/smtpd[6726]: connect from mail.example.com[192.168.236.188],0,normal
Jan 23 06:59:10 server3 NetworkManager[8604]: <info> device (eth0): state change: activated -> disconnected,0,normal
"Jan 12 10:41:28 server3 kernel: [20830] USB disconnect, address 6",0,normal
Jan 9 10:34:59 server1 cron[8976]: (admin) CMD (/usr/bin/cleanup.sh),0,normal
Jan 25 04:52:48 server4 sshd[7504]: Accepted publickey for admin from 192.168.102.106 port 22 ssh2,0,normal
"Jan 18 17:26:27 server1 apache2[3151]: 192.168.236.147 - - [20/Jan/2024:18:32:07 +0000] ""GET /index.html HTTP/1.1"" 200 174",0,normal
Jan 7 19:10:54 server4 systemd[1]: Started User Manager for UID 1327,0,normal
"Jan 12 04:48:18 server2 kernel: [17007] USB disconnect, address 6",0,normal
Jan 29 01:39:45 server1 NetworkManager[5254]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 18 19:47:36 server1 sshd[2273]: Accepted publickey for www-data from 192.168.54.98 port 22 ssh2,0,normal
Jan 4 11:55:54 server2 postfix/smtpd[5346]: connect from mail.example.com[192.168.66.154],0,normal
"Jan 5 20:19:24 server4 kernel: [48886] USB disconnect, address 7",0,normal
"Jan 28 19:02:30 server3 apache2[8704]: 192.168.112.107 - - [13/Jan/2024:15:19:44 +0000] ""GET /about.html HTTP/1.1"" 200 1598",0,normal
"Jan 6 14:03:28 server1 apache2[8027]: 192.168.230.5 - - [03/Jan/2024:02:43:34 +0000] ""GET /about.html HTTP/1.1"" 200 1302",0,normal
Jan 14 10:09:01 server3 postfix/smtpd[9270]: connect from web.example.com[192.168.19.134],0,normal
Jan 28 12:55:24 server1 systemd[1]: Started User Manager for UID 1297,0,normal
"Jan 7 23:54:39 server1 kernel: [82172] USB disconnect, address 1",0,normal
Jan 19 07:34:54 server4 sshd[5055]: Accepted publickey for www-data from 192.168.24.97 port 22 ssh2,0,normal
Jan 10 07:39:21 server3 NetworkManager[8800]: <info> device (eth0): state change: activated -> disconnected,0,normal
"Jan 5 16:27:55 server4 kernel: [77228] USB disconnect, address 6",0,normal
Jan 26 16:57:47 server2 cron[9474]: (www-data) CMD (/usr/bin/cleanup.sh),0,normal
"Jan 23 14:59:08 server1 apache2[5545]: 192.168.61.88 - - [09/Jan/2024:18:28:09 +0000] ""GET /api/status HTTP/1.1"" 200 884",0,normal
Jan 23 09:34:36 server2 systemd[1]: Started User Manager for UID 1371,0,normal
Jan 18 17:21:12 server1 systemd[1]: Started User Manager for UID 1762,0,normal
Jan 9 04:46:37 server2 systemd[1]: Started User Manager for UID 1871,0,normal
"Jan 19 12:22:02 server4 apache2[8664]: 192.168.195.46 - - [02/Jan/2024:18:37:05 +0000] ""GET /api/status HTTP/1.1"" 200 3556",0,normal
Jan 9 09:00:28 server1 systemd[1]: Started User Manager for UID 1071,0,normal
Jan 6 07:03:43 server4 postfix/smtpd[5526]: connect from web.example.com[192.168.239.177],0,normal
Jan 27 12:40:38 server4 NetworkManager[1097]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 18 20:39:22 server3 cron[5213]: (admin) CMD (/usr/bin/cleanup.sh),0,normal
Jan 7 18:35:25 server2 sshd[4094]: Accepted publickey for admin from 192.168.41.88 port 22 ssh2,0,normal
Jan 6 18:43:47 server3 NetworkManager[7443]: <info> device (eth0): state change: activated -> disconnected,0,normal
Jan 26 03:45:21 server2 postfix/smtpd[7427]: connect from web.example.com[192.168.32.45],0,normal
Jan 21 00:48:17 server3 NetworkManager[7894]: <info> device (eth0): state change: activated -> disconnected,0,normal
"Jan 2 08:25:04 server2 apache2[1901]: 192.168.164.130 - - [24/Jan/2024:05:06:12 +0000] ""GET /about.html HTTP/1.1"" 200 1853",0,normal
"Jan 16 05:27:48 server1 apache2[3276]: 192.168.227.154 - - [29/Jan/2024:18:22:29 +0000] ""GET /api/status HTTP/1.1"" 200 2811",0,normal
Jan 25 14:05:17 server4 systemd[1]: Started User Manager for UID 1312,0,normal
Jan 17 12:59:30 server2 systemd[1]: Started User Manager for UID 1442,0,normal
Jan 28 01:05:09 server1 postfix/smtpd[2085]: connect from web.example.com[192.168.75.168],0,normal
"Jan 7 08:28:13 server1 apache2[2552]: 192.168.16.57 - - [29/Jan/2024:00:13:06 +0000] ""GET /contact.html HTTP/1.1"" 200 2740",0,normal
Jan 16 04:44:00 server1 sshd[3599]: Accepted publickey for user1 from 192.168.197.158 port 22 ssh2,0,normal
